src_ip;oct1;oct2;oct3;oct4;pca1;pca2
192.168.128.103;192;168;128;103;4.18980420439331;-2.8819896288196887
192.168.128.104;192;168;128;104;5.189778405401908;-2.8748065015607205
192.168.128.105;192;168;128;105;6.189752606410505;-2.8676233743017523
192.168.128.107;192;168;128;107;8.189701008427699;-2.8532571197838146
192.168.128.108;192;168;128;108;9.189675209436297;-2.8460739925248464
192.168.128.109;192;168;128;109;10.189649410444895;-2.838890865265877
192.168.128.110;192;168;128;110;11.189623611453493;-2.8317077380069087
192.168.128.111;192;168;128;111;12.18959781246209;-2.82452461074794
192.168.128.112;192;168;128;112;13.189572013470688;-2.8173414834889714
192.168.128.113;192;168;128;113;14.189546214479284;-2.810158356230003
192.168.128.114;192;168;128;114;15.189520415487882;-2.802975228971034
192.168.128.115;192;168;128;115;16.18949461649648;-2.7957921017120655
192.168.128.116;192;168;128;116;17.18946881750508;-2.788608974453097
192.168.128.117;192;168;128;117;18.189443018513675;-2.7814258471941287
192.168.128.118;192;168;128;118;19.18941721952227;-2.7742427199351596
192.168.128.119;192;168;128;119;20.189391420530868;-2.7670595926761905
192.168.128.120;192;168;128;120;21.189365621539466;-2.7598764654172223
192.168.128.122;192;168;128;122;23.189314023556662;-2.745510210899285
192.168.128.123;192;168;128;123;24.189288224565257;-2.738327083640316
192.168.128.124;192;168;128;124;25.189262425573858;-2.7311439563813473
192.168.128.125;192;168;128;125;26.189236626582453;-2.723960829122379
192.168.128.126;192;168;128;126;27.18921082759105;-2.71677770186341
192.168.128.127;192;168;128;127;28.189185028599645;-2.709594574604442
192.168.128.128;192;168;128;128;29.18915922960824;-2.7024114473454732
192.168.128.129;192;168;128;129;30.18913343061684;-2.695228320086504
192.168.128.130;192;168;128;130;31.189107631625436;-2.6880451928275355
192.168.128.131;192;168;128;131;32.18908183263404;-2.6808620655685673
192.168.128.132;192;168;128;132;33.189056033642636;-2.6736789383095982
192.168.128.133;192;168;128;133;34.18903023465123;-2.6664958110506296
192.168.128.134;192;168;128;134;35.18900443565983;-2.6593126837916614
192.168.128.136;192;168;128;136;37.188952837677014;-2.6449464292737237
192.168.128.137;192;168;128;137;38.18892703868563;-2.6377633020147555
192.168.128.138;192;168;128;138;39.18890123969422;-2.6305801747557864
192.168.128.139;192;168;128;139;40.18887544070282;-2.6233970474968182
192.168.128.140;192;168;128;140;41.18884964171141;-2.616213920237849
192.168.128.141;192;168;128;141;42.18882384272001;-2.6090307929788805
192.168.128.142;192;168;128;142;43.18879804372861;-2.6018476657199123
192.168.128.143;192;168;128;143;44.1887722447372;-2.5946645384609432
192.168.128.144;192;168;128;144;45.1887464457458;-2.5874814112019746
192.168.128.145;192;168;128;145;46.188720646754405;-2.580298283943006
192.168.128.146;192;168;128;146;47.188694847762996;-2.5731151566840373
192.168.128.148;192;168;128;148;49.18864324978019;-2.5587489021661
192.168.128.149;192;168;128;149;50.18861745078879;-2.5515657749071314
192.168.128.150;192;168;128;150;51.18859165179739;-2.5443826476481632
192.168.128.180;192;168;128;180;81.18781768205531;-2.3288888298791037
192.168.128.209;192;168;128;209;110.1870695113046;-2.120578139369013
192.168.128.229;192;168;128;229;130.18655353147656;-1.9769155941896401
192.168.128.252;192;168;128;252;153.1859601546743;-1.811703667233361
192.168.128.253;192;168;128;253;154.1859343556829;-1.8045205399743924
192.168.121.5;192;168;121;5;-93.85794938526202;3.4138833068615524
192.168.121.11;192;168;121;11;-87.85810417921041;3.4569820704153638
192.168.121.17;192;168;121;17;-81.85825897315883;3.5000808339691756
192.168.121.18;192;168;121;18;-80.85828477215024;3.507263961228145
192.168.121.23;192;168;121;23;-75.85841376710724;3.5431795975229874
192.168.121.26;192;168;121;26;-72.85849116408146;3.5647289792998937
192.168.121.43;192;168;121;43;-55.85892974693531;3.68684214270236
192.168.121.48;192;168;121;48;-50.859058741892326;3.7227577789972037
192.168.121.51;192;168;121;51;-47.85913613886654;3.74430716077411
192.168.121.73;192;168;121;73;-25.85970371667739;3.90233596047142
192.168.121.78;192;168;121;78;-20.859832711634407;3.9382515967662632
192.168.121.85;192;168;121;85;-13.860013304574226;3.9885334875790432
192.168.121.108;192;168;121;108;9.139393318623512;4.153745414535322
192.168.122.40;192;168;122;40;-58.851669222702135;2.665318559916859
192.168.122.44;192;168;122;44;-54.85177241866775;2.6940510689527337
192.168.122.47;192;168;122;47;-51.85184981564196;2.7156004507296396
192.168.122.55;192;168;122;55;-43.85205620757318;2.773065468801389
192.168.122.60;192;168;122;60;-38.8521852025302;2.808981105096232
192.168.122.62;192;168;122;62;-36.852236800513;2.823347359614169
192.168.122.69;192;168;122;69;-29.85241739345281;2.8736292504269496
192.168.122.81;192;168;122;81;-17.852726981349647;2.959826777534574
192.168.122.84;192;168;122;84;-14.852804378323853;2.98137615931148
192.168.122.85;192;168;122;85;-13.852830177315258;2.9885592865704487
192.168.122.90;192;168;122;90;-8.852959172272271;3.024474922865292
192.168.122.92;192;168;122;92;-6.853010770255076;3.0388411773832287
192.168.122.97;192;168;122;97;-1.8531397652120891;3.0747568136780723
192.168.122.103;192;168;122;103;4.1467054408394945;3.1178555772318837
192.168.122.116;192;168;122;116;17.146370053951262;3.211236231598476
192.168.122.117;192;168;122;117;18.146344254959857;3.218419358857445
192.168.122.124;192;168;122;124;25.14616366202004;3.2687012496702255
192.168.122.130;192;168;122;130;31.14600886807162;3.3118000132240364
192.168.122.134;192;168;122;134;35.14590567210601;3.340532522259912
192.168.122.136;192;168;122;136;37.1458540741232;3.3548987767778486
192.168.122.137;192;168;122;137;38.145828275131805;3.3620819040368173
192.168.122.138;192;168;122;138;39.145802476140396;3.3692650312957855
192.168.122.140;192;168;122;140;41.14575087815759;3.383631285813723
192.168.122.141;192;168;122;141;42.1457250791662;3.3908144130726923
192.168.125.4;192;168;125;4;-94.82919107723473;-0.5931966244317983
192.168.125.54;192;168;125;54;-44.83048102680487;-0.23404026148336626
192.168.125.61;192;168;125;61;-37.83066161974468;-0.18375837067058576
192.168.125.63;192;168;125;63;-35.83071321772749;-0.16939211615264846
